['840', '820', '437', '0']
['843', '766', '453', '0']
['845', '726', '469', '0']
['846', '695', '481', '0']
['849', '669', '487', '0']
['852', '634', '507', '0']
['853', '602', '527', '0']
['856', '570', '555', '0']
['857', '561', '571', '0']
['860', '553', '589', '0']
['860', '553', '589', '0']
['860', '553', '589', '0']
['860', '553', '589', '0']
['860', '553', '589', '0']
['860', '553', '589', '0']
['860', '553', '589', '0']
['860', '553', '589', '0']
['861', '582', '592', '0']
['864', '615', '624', '0']
['865', '643', '653', '0']
['868', '664', '677', '0']
['869', '673', '685', '0']
['872', '685', '699', '0']
['875', '687', '702', '0']
['876', '686', '711', '0']
['877', '686', '711', '0']
['878', '686', '711', '0']
['877', '686', '711', '0']
['878', '686', '711', '0']
['879', '685', '717', '0']
['880', '685', '717', '0']
['881', '685', '717', '0']
['882', '685', '716', '0']
['887', '695', '740', '0']
['891', '697', '745', '0']
['892', '701', '753', '0']
['895', '706', '759', '0']
['896', '722', '780', '0']
['897', '735', '799', '0']
['900', '744', '818', '0']
['901', '751', '830', '0']
['904', '761', '844', '0']
['905', '765', '848', '0']
['908', '771', '857', '0']
['909', '775', '866', '0']
['912', '779', '872', '0']
['915', '782', '877', '0']
['916', '785', '880', '0']
['917', '785', '880', '0']
['918', '785', '882', '0']
['918', '785', '882', '0']
['923', '787', '889', '0']
['924', '775', '868', '0']
['927', '770', '856', '0']
['927', '770', '856', '0']
['927', '770', '856', '0']
['927', '770', '856', '0']
['927', '770', '856', '0']
['927', '770', '856', '0']
['927', '770', '856', '0']
['927', '770', '856', '0']
['928', '765', '847', '0']
['931', '762', '840', '0']
['932', '760', '834', '0']
['933', '760', '834', '0']
['936', '758', '829', '0']
['937', '769', '760', '0']
['940', '768', '710', '0']
['941', '757', '673', '0']
['944', '751', '657', '0']
['944', '751', '657', '0']
['944', '751', '657', '0']
['944', '751', '657', '0']
['944', '751', '657', '0']
['945', '751', '659', '0']
['948', '739', '706', '0']
['949', '712', '771', '0']
['952', '685', '840', '0']
['953', '673', '872', '0']
['953', '673', '872', '0']
['953', '673', '872', '0']
['961', '674', '873', '0']
['964', '675', '877', '0']
['965', '681', '878', '0']
['966', '681', '878', '0']
['965', '681', '878', '0']
['966', '681', '878', '0']
['966', '681', '878', '0']
['970', '682', '874', '0']
['971', '702', '786', '0']
['975', '743', '678', '0']
['975', '743', '678', '0']
['975', '743', '678', '0']
['975', '743', '678', '0']
['975', '743', '678', '0']
['975', '743', '678', '0']
['976', '753', '654', '0']
['980', '757', '643', '0']
['981', '761', '636', '0']
['984', '803', '637', '0']
['985', '843', '646', '0']
['988', '868', '650', '0']
['989', '901', '656', '0']
['989', '901', '656', '0']
['992', '927', '656', '0']
['992', '927', '656', '0']
['995', '941', '654', '0']
['995', '941', '654', '0']
['996', '954', '650', '0']
['999', '958', '642', '0']
['1000', '960', '634', '0']
['1000', '960', '634', '0']
['1003', '961', '626', '0']
['1004', '972', '599', '0']
['1006', '1024', '565', '0']
['1007', '1024', '565', '0']
['1008', '1024', '535', '0']
['1009', '1024', '535', '0']
['1010', '1024', '535', '5']
['1011', '1024', '535', '5']
['1008', '1024', '535', '5']
['1009', '1024', '535', '5']
['1010', '1024', '535', '5']
['1011', '1024', '535', '0']
['1011', '1024', '535', '0']
['1011', '1024', '535', '0']
['1011', '1024', '535', '0']
